"SITEVISITID","SITE","OBS_YEAR","DATE_","MISSIONID","OCC_SITEID","ANALYSIS_YEAR","ANALYSIS_SCHEME","SEC_NAME","EXCLUDE_FLAG","TRANSECT_PHOTOS","Oceanography","new_MIN_DEPTH_M","new_MAX_DEPTH_M","METHOD","REGION","ISLAND","PERM_SITE","CLIMATE_STATION_YN","LATITUDE","LONGITUDE","REEF_ZONE","DEPTH_BIN","AMNE","BGMA","BI","BR","BRY","CCAH","CCAR","CMOR","COL","EMA","ENC","FINE","FOL","FREE","GC","HAL","HARD","MASS","NS","OCTO","RUB","SAND","SG","SP","TAB","TUN","TURFH","TURFR","UI","UPMA","USC","ZO","TURF","POSP","HALI","CCA","ASSP","BRMA","ASPP","ACSP","POCS","PHSP","FASP","GONS","HYSP","HCOE","GOAL","LEPT","GASP","MISP","CYPS","ACAS","ASTS","MOSP","PAVS","COTS","PLSP","GRMA","STYS","RDMA","PADI","LPHY","MICR","COSP","FAVS","DICT","FUSP","MONS","LOBS","PACS","PSSP","ISSP","TURS","ECHP","MESP","OUSP","ECHL","DISP","SYSP","PLER","LESP","HYCO","EUSP","ANTI","N","new.N"
2132,"TUT-00358",2010,"2/17/2010","HA1001",NA,"2010","TUT10_12","TUT_SE_OPEN",0,"-1",0,19,25,"CPCE","SAMOA","Tutuila",0,0,-14.31963,-170.66151,"Forereef","Deep",0,0,0,1.82481751824817,0,31.7518248175182,0,0,0,21.5328467153285,2.18978102189781,0,0,0,0,9.85401459854015,2.18978102189781,1.45985401459854,0,0,0,0,0,0,8.39416058394161,0,18.2481751824818,0,0,2.55474452554745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,274
2133,"TUT-00363",2010,"2/17/2010","HA1001",NA,"2010","TUT10_12","TUT_SE_OPEN",0,"-1",0,11,14,"CPCE","SAMOA","Tutuila",0,0,-14.31301,-170.65019,"Forereef","Mid",0,0,0,3.35820895522388,0,49.6268656716418,2.23880597014925,0,0,29.1044776119403,3.73134328358209,0,0.746268656716418,0,0,0,2.61194029850746,0,0,0,0,0,0,0,0,0,7.46268656716418,0.746268656716418,0,0.373134328358209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,268
2134,"TUT-00307",2010,"2/17/2010","HA1001",NA,"2010","TUT10_12","TUT_SE_OPEN",0,"-1",0,3,9,"CPCE","SAMOA","Tutuila",0,0,-14.28602,-170.63841,"Forereef","Shallow",0,0,0,3.18021201413428,0,44.5229681978799,0,0,0,13.7809187279152,10.9540636042403,0,0.706713780918728,0,0,2.82685512367491,6.00706713780919,7.06713780918728,0,2.47349823321555,0,0,0,0,0,0,7.42049469964664,0.353356890459364,0,0.706713780918728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,283
2135,"TUT-00270",2010,"2/17/2010","HA1001",NA,"2010","TUT10_12","TUT_SE_OPEN",0,"-1",0,10,13,"CPCE","SAMOA","Tutuila",0,0,-14.31487,-170.65503,"Forereef","Mid",0,0,0,0,0,26.1648745519713,1.7921146953405,0,0,18.2795698924731,0.716845878136201,0,0,0,0,0,1.0752688172043,0,0,0,2.5089605734767,2.5089605734767,0,0,0,0,29.3906810035842,17.5627240143369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,279
2137,"TUT-00306",2010,"2/17/2010","HA1001",NA,"2010","TUT10_12","TUT_SE_OPEN",0,"-1",0,2,5,"CPCE","SAMOA","Tutuila",0,0,-14.29249,-170.65948,"Forereef","Shallow",0,0,0,5.88235294117647,0,16.1764705882353,0,0,0,17.2794117647059,6.25,0,0,0,0,0,3.30882352941176,21.6911764705882,0,0.367647058823529,0.367647058823529,0,0,0,0,0,28.6764705882353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,272
2138,"TUT-00226",2010,"2/17/2010","HA1001",NA,"2010","TUT10_12","TUT_SE_OPEN",0,"-1",0,3,8,"CPCE","SAMOA","Tutuila",0,0,-14.28314,-170.63144,"Forereef","Shallow",0,0,0,3.9568345323741,0,41.726618705036,0,0,0,16.9064748201439,14.7482014388489,0,0,0,0,0.359712230215827,0,4.31654676258993,0,3.59712230215827,0,0,0,0.719424460431655,0,0,10.431654676259,0,0,3.23741007194245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,278
2139,"TUT-00296",2010,"2/17/2010","HA1001",NA,"2010","TUT10_12","TUT_SE_OPEN",0,"-1",0,13,19,"CPCE","SAMOA","Tutuila",0,0,-14.29448,-170.62241,"Forereef","Mid",0,0,0,5.55555555555556,0,54.1666666666667,0.347222222222222,0,0,15.9722222222222,8.68055555555556,0,0,0,0,1.04166666666667,2.77777777777778,1.04166666666667,0,0,0,0,0,0,0,0,8.68055555555556,0,0,1.73611111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,288
2140,"TUT-00202",2010,"2/17/2010","HA1001",NA,"2010","TUT10_12","TUT_SE_OPEN",0,"-1",0,21,22,"CPCE","SAMOA","Tutuila",0,0,-14.32498,-170.67264,"Forereef","Deep",0,0,0,10.4712041884817,0,47.1204188481675,0,0,0,4.71204188481675,9.42408376963351,0,0,0,0,0,0,0.523560209424084,0,0,0,0,0,0,21.4659685863874,0,3.66492146596859,0,0,2.61780104712042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,191
2141,"TUT-00329",2010,"2/17/2010","HA1001",NA,"2010","TUT10_12","TUT_SE_OPEN",0,"-1",0,16,17,"CPCE","SAMOA","Tutuila",0,0,-14.32362,-170.67035,"Forereef","Mid",0,0,0,6.64206642066421,0,43.9114391143911,0,0,0,14.0221402214022,10.7011070110701,0,0,0,0,0.738007380073801,2.5830258302583,1.4760147601476,0,0,0,0,0,0,12.5461254612546,0,7.38007380073801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,271
2142,"TUT-00314",2010,"2/17/2010","HA1001",NA,"2010","TUT10_12","TUT_SE_OPEN",0,"-1",0,21,23,"CPCE","SAMOA","Tutuila",0,0,-14.32283,-170.66772,"Forereef","Deep",0,0,0,7.2463768115942,0,30.4347826086957,0,0,0.72463768115942,18.1159420289855,5.79710144927536,0,1.44927536231884,0,0,4.34782608695652,2.17391304347826,0.72463768115942,0,1.44927536231884,0,0.36231884057971,0,0.36231884057971,9.42028985507246,0,15.9420289855072,0,0,1.44927536231884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,276
