"","SITE","OBS_YEAR","DATE_","ANALYSIS_YEAR","new_MIN_DEPTH_M","new_MAX_DEPTH_M","LATITUDE","LONGITUDE","DEPTH_BIN","New","Percent"
"1","SWA-00001",2012,"3/22/2012","2012",13,17,-11.06818,-171.08118,"Mid","Total Coral",34.8122866894198
"2","SWA-00001",2012,"3/22/2012","2012",13,17,-11.06818,-171.08118,"Mid","CCA",15.0170648464164
"3","SWA-00001",2012,"3/22/2012","2012",13,17,-11.06818,-171.08118,"Mid","UPMA",16.7235494880546
"4","SWA-00001",2012,"3/22/2012","2012",13,17,-11.06818,-171.08118,"Mid","TURF",6.14334470989761
"5","SWA-00001",2012,"3/22/2012","2012",13,17,-11.06818,-171.08118,"Mid","EMA",26.2798634812287
"6","SWA-00001",2012,"3/22/2012","2012",13,17,-11.06818,-171.08118,"Mid","Other",1.02389078498294
"7","SWA-00003",2012,"3/23/2012","2012",11,18,-11.05761,-171.09133,"Mid","Total Coral",43.7722419928826
"8","SWA-00003",2012,"3/23/2012","2012",11,18,-11.05761,-171.09133,"Mid","CCA",13.8790035587189
"9","SWA-00003",2012,"3/23/2012","2012",11,18,-11.05761,-171.09133,"Mid","UPMA",25.2669039145907
"10","SWA-00003",2012,"3/23/2012","2012",11,18,-11.05761,-171.09133,"Mid","TURF",11.0320284697509
"11","SWA-00003",2012,"3/23/2012","2012",11,18,-11.05761,-171.09133,"Mid","EMA",5.33807829181495
"12","SWA-00003",2012,"3/23/2012","2012",11,18,-11.05761,-171.09133,"Mid","Other",0.711743772241993
"13","SWA-00003",2015,"2/20/2015","2015",11,18,-11.05762,-171.0915,"Mid","Total Coral",55.9859172
"14","SWA-00003",2015,"2/20/2015","2015",11,18,-11.05762,-171.0915,"Mid","CCA",8.450704
"15","SWA-00003",2015,"2/20/2015","2015",11,18,-11.05762,-171.0915,"Mid","UPMA",15.14085
"16","SWA-00003",2015,"2/20/2015","2015",11,18,-11.05762,-171.0915,"Mid","TURF",11.61972
"17","SWA-00003",2015,"2/20/2015","2015",11,18,-11.05762,-171.0915,"Mid","EMA",7.746479
"18","SWA-00003",2015,"2/20/2015","2015",11,18,-11.05762,-171.0915,"Mid","Other",1.0563381
"19","SWA-00004",2012,"3/23/2012","2012",10,14,-11.06433271,-171.08649583,"Mid","Total Coral",52.1035598705502
"20","SWA-00004",2012,"3/23/2012","2012",10,14,-11.06433271,-171.08649583,"Mid","CCA",19.4174757281553
