"","DEPTH_BIN","OBS_YEAR","REEF_ZONE","SEC_NAME","SITE","SITE.AREA","Q10","QMed","Q90","QJuv","QJuv.D","Q10.D","QMed.D","Q90.D","TOTAL.D","QJuv.R","Q10.R","QMed.R","Q90.R"
"1","Deep","2015","Forereef","SWA_SANCTUARY","SWA-00500",5,1,2,0,0,0,0.2,0.4,0,0.6,0,0.333333333333333,0.666666666666667,0
"2","Deep","2015","Forereef","SWA_SANCTUARY","SWA-00509",7.5,0,3,2,0,0,0,0.4,0.266666666666667,0.666666666666667,0,0,0.6,0.4
"3","Deep","2015","Forereef","SWA_SANCTUARY","SWA-00510",7,1,1,0,3,0.428571428571429,0.142857142857143,0.142857142857143,0,0.714285714285714,0.6,0.2,0.2,0
"4","Deep","2015","Forereef","SWA_SANCTUARY","SWA-00516",7.5,2,4,0,0,0,0.266666666666667,0.533333333333333,0,0.8,0,0.333333333333333,0.666666666666667,0
"5","Deep","2018","Forereef","SWA_OPEN","SWA-00793",6.25,2,1,0,0,0,0.32,0.16,0,0.48,0,0.666666666666667,0.333333333333333,0
"6","Deep","2018","Forereef","SWA_SANCTUARY","SWA-00775",6.25,0,13,0,0,0,0,2.08,0,2.08,0,0,1,0
"7","Deep","2023","Forereef","SWA_OPEN","SWA-00978",5,0,7,0,0,0,0,1.4,0,1.4,0,0,1,0
"8","Deep","2023","Forereef","SWA_SANCTUARY","SWA-00977",2.5,0,1,0,0,0,0,0.4,0,0.4,0,0,1,0
"9","Deep","2023","Forereef","SWA_SANCTUARY","SWA-00989",5,1,1,0,0,0,0.2,0.2,0,0.4,0,0.5,0.5,0
"10","Mid","2015","Forereef","SWA_SANCTUARY","SWA-00522",6,2,2,0,1,0.166666666666667,0.333333333333333,0.333333333333333,0,0.833333333333333,0.2,0.4,0.4,0
"11","Mid","2015","Forereef","SWA_SANCTUARY","SWA-00530",9.5,7,19,1,2,0.210526315789474,0.736842105263158,2,0.105263157894737,3.05263157894737,0.0689655172413793,0.241379310344828,0.655172413793104,0.0344827586206897
"12","Mid","2015","Forereef","SWA_SANCTUARY","SWA-00536",11,5,70,17,1,0.0909090909090909,0.454545454545455,6.36363636363636,1.54545454545455,8.45454545454545,0.010752688172043,0.0537634408602151,0.752688172043011,0.182795698924731
"13","Mid","2015","Forereef","SWA_SANCTUARY","SWA-00541",7.5,2,3,0,0,0,0.266666666666667,0.4,0,0.666666666666667,0,0.4,0.6,0
"14","Mid","2015","Forereef","SWA_SANCTUARY","SWA-00545",8.5,0,5,0,1,0.117647058823529,0,0.588235294117647,0,0.705882352941177,0.166666666666667,0,0.833333333333333,0
"15","Mid","2015","Forereef","SWA_SANCTUARY","SWA-00546",12,3,69,10,6,0.5,0.25,5.75,0.833333333333333,7.33333333333333,0.0681818181818182,0.0340909090909091,0.784090909090909,0.113636363636364
"16","Mid","2018","Forereef","SWA_SANCTUARY","SWA-00766",12,7,21,0,2,0.166666666666667,0.583333333333333,1.75,0,2.5,0.0666666666666667,0.233333333333333,0.7,0
"17","Mid","2018","Forereef","SWA_SANCTUARY","SWA-00780",10,3,25,2,0,0,0.3,2.5,0.2,3,0,0.1,0.833333333333333,0.0666666666666667
"18","Mid","2018","Forereef","SWA_SANCTUARY","SWA-00795",2.5,0,4,0,0,0,0,1.6,0,1.6,0,0,1,0
"19","Mid","2023","Forereef","SWA_OPEN","SWA-00975",11,4,20,1,1,0.0909090909090909,0.363636363636364,1.81818181818182,0.0909090909090909,2.36363636363636,0.0384615384615385,0.153846153846154,0.769230769230769,0.0384615384615385
"20","Mid","2023","Forereef","SWA_OPEN","SWA-00995",3.5,1,1,0,1,0.285714285714286,0.285714285714286,0.285714285714286,0,0.857142857142857,0.333333333333333,0.333333333333333,0.333333333333333,0
