"","SITE","SITEVISITID","TRANSECT","TAXONCODE_2","AdColCount","AdColDen","METHOD","Ave.od","Ad_pres","TRANSECTAREA_ad","OBS_YEAR","ISLAND","SEC_NAME","DEPTH_BIN","new_MIN_DEPTH_M","new_MAX_DEPTH_M"
"1","SWA-00802",11774,1,"ACSP_BR",0,0,"DIVER",NA,"-1",10,2018,"Swains","SWA_OPEN","Shallow",2.133496,2.438281
"2","SWA-00802",11774,1,"ASTS_MD",0,0,"DIVER",NA,"-1",10,2018,"Swains","SWA_OPEN","Shallow",2.133496,2.438281
"3","SWA-00802",11774,1,"CMAY",0,0,"DIVER",NA,"-1",10,2018,"Swains","SWA_OPEN","Shallow",2.133496,2.438281
"4","SWA-00802",11774,1,"COSP_EM",0,0,"DIVER",NA,"-1",10,2018,"Swains","SWA_OPEN","Shallow",2.133496,2.438281
"5","SWA-00802",11774,1,"CYPS",0,0,"DIVER",NA,"-1",10,2018,"Swains","SWA_OPEN","Shallow",2.133496,2.438281
"6","SWA-00802",11774,1,"FSTE",0,0,"DIVER",NA,"-1",10,2018,"Swains","SWA_OPEN","Shallow",2.133496,2.438281
"7","SWA-00802",11774,1,"GEDW",0,0,"DIVER",NA,"-1",10,2018,"Swains","SWA_OPEN","Shallow",2.133496,2.438281
"8","SWA-00802",11774,1,"GONS",0,0,"DIVER",NA,"-1",10,2018,"Swains","SWA_OPEN","Shallow",2.133496,2.438281
"9","SWA-00802",11774,1,"HEXE",0,0,"DIVER",NA,"-1",10,2018,"Swains","SWA_OPEN","Shallow",2.133496,2.438281
"10","SWA-00802",11774,1,"LEPT",0,0,"DIVER",NA,"-1",10,2018,"Swains","SWA_OPEN","Shallow",2.133496,2.438281
"11","SWA-00802",11774,1,"LINC",0,0,"DIVER",NA,"-1",10,2018,"Swains","SWA_OPEN","Shallow",2.133496,2.438281
"12","SWA-00802",11774,1,"LMYC",0,0,"DIVER",NA,"-1",10,2018,"Swains","SWA_OPEN","Shallow",2.133496,2.438281
"13","SWA-00802",11774,1,"MOSP_EM",4,0.4,"DIVER",30,"-1",10,2018,"Swains","SWA_OPEN","Shallow",2.133496,2.438281
"14","SWA-00802",11774,1,"MOSP_FO",0,0,"DIVER",NA,"-1",10,2018,"Swains","SWA_OPEN","Shallow",2.133496,2.438281
"15","SWA-00802",11774,1,"PAVS_EM",0,0,"DIVER",NA,"-1",10,2018,"Swains","SWA_OPEN","Shallow",2.133496,2.438281
"16","SWA-00802",11774,1,"PCHI",0,0,"DIVER",NA,"-1",10,2018,"Swains","SWA_OPEN","Shallow",2.133496,2.438281
"17","SWA-00802",11774,1,"PDUE",0,0,"DIVER",NA,"-1",10,2018,"Swains","SWA_OPEN","Shallow",2.133496,2.438281
"18","SWA-00802",11774,1,"PGWC",0,0,"DIVER",NA,"-1",10,2018,"Swains","SWA_OPEN","Shallow",2.133496,2.438281
"19","SWA-00802",11774,1,"PLSP",2,0.2,"DIVER",0,"-1",10,2018,"Swains","SWA_OPEN","Shallow",2.133496,2.438281
"20","SWA-00802",11774,1,"PMAL",0,0,"DIVER",NA,"-1",10,2018,"Swains","SWA_OPEN","Shallow",2.133496,2.438281
"21","SWA-00802",11774,1,"PMVC",10,1,"DIVER",33.5,"-1",10,2018,"Swains","SWA_OPEN","Shallow",2.133496,2.438281
"22","SWA-00802",11774,1,"POSP_EM",5,0.5,"DIVER",2,"-1",10,2018,"Swains","SWA_OPEN","Shallow",2.133496,2.438281
"23","SWA-00802",11774,1,"POSP_MD",0,0,"DIVER",NA,"-1",10,2018,"Swains","SWA_OPEN","Shallow",2.133496,2.438281
"24","SWA-00802",11774,1,"PSPE",0,0,"DIVER",NA,"-1",10,2018,"Swains","SWA_OPEN","Shallow",2.133496,2.438281
"25","SWA-00802",11774,1,"PSSP_EM",0,0,"DIVER",NA,"-1",10,2018,"Swains","SWA_OPEN","Shallow",2.133496,2.438281
